INSTANCE,ALGORITHM,SEED,STATUS,OBJECTIVE,TIME.SEC,ITERATIONS,RELAXATION,OPT.GAP
ORCS-006-02-T-03-01,greedy,7,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-01,greedy,11,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-01,greedy,13,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-01,greedy,17,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-01,greedy,19,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-01,greedy,23,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-01,greedy,29,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-02,greedy,2,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,3,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,5,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,7,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,11,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,13,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,17,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,19,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,23,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-02,greedy,29,SUBOPTIMAL,34,0,,,
ORCS-006-02-T-03-03,greedy,2,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,3,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,5,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,7,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,11,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,13,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,17,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,19,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,23,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-03,greedy,29,SUBOPTIMAL,31,0,,,
ORCS-006-03-I-02-01,greedy,2,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,3,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,5,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,7,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,11,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,13,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,17,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,19,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,23,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-01,greedy,29,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-02,greedy,2,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,3,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,5,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,7,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,11,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,13,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,17,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,19,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,23,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-02,greedy,29,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-02-03,greedy,2,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,3,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,5,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,7,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,11,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,13,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,17,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,19,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,23,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-02-03,greedy,29,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,2,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,3,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,5,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,7,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,11,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,13,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,17,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,19,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,23,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-01,greedy,29,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-02,greedy,2,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,3,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,5,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,7,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,11,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,13,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,17,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,19,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,23,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-02,greedy,29,SUBOPTIMAL,24,0,,,
ORCS-006-03-I-03-03,greedy,2,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-03,greedy,3,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-03,greedy,5,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-03,greedy,7,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-03,greedy,11,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-03,greedy,13,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-03,greedy,17,SUBOPTIMAL,26,0,,,
